id_hecho,cantidad_victimas,fecha,anio,mes,dia,hora,franja_horaria,lugar_hecho,tipo_calle,comuna,latitud,longitud,participantes,victima,acusado
2017-0134,1,2017-11-06,2017,11,6,18:00:00,18,AV. CNEL. ROCA 3555,AVENIDA,8,-34.66777987,-58.4423972,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0135,1,2017-11-07,2017,11,7,12:14:10,12,AV. WARNES Y PUNTA ARENAS,AVENIDA,15,-34.59626814,-58.47032551,MOTO-CARGAS,MOTO,CARGAS
2017-0136,1,2017-11-16,2017,11,16,8:43:00,8,DEL BARCO CENTENERA Y RABANAL,AVENIDA,4,-34.65522746,-58.41827843,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0137,1,2017-11-17,2017,11,17,11:45:00,11,AV. GRAL. ENRIQUE MOSCONI Y SAN NICOLAS,AVENIDA,11,-34.59279388,-58.51280715,PEATON-CARGAS,PEATON,CARGAS
2017-0138,1,2017-11-19,2017,11,19,10:30:00,10,AV. LAFUENTE Y AV. EVA PERON,AVENIDA,7,-34.64385704,-58.46258582,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2017-0139,1,2017-11-19,2017,11,19,22:30:00,22,AV. CNEL. ROCA Y AV. ESCALADA,AVENIDA,8,-34.68003614,-58.45064148,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0140,1,2017-11-19,2017,11,19,23:22:17,23,AU ARTURO FRONDIZI PKM 3100,AUTOPISTA,4,-34.635874,-58.377139,MOTO-PASAJEROS,MOTO,PASAJEROS
2017-0141,1,2017-11-23,2017,11,23,19:45:00,19,AV. LA PLATA Y AV. PEDRO GOYENA,AVENIDA,6,-34.62513374,-58.42717783,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0143,1,2017-11-25,2017,11,25,21:45:00,21,TRELLES Y GRAL. CESAR DIAZ,CALLE,11,-34.60724519,-58.46442001,AUTO-PASAJEROS,AUTO,PASAJEROS
2017-0144,1,2017-11-26,2017,11,26,6:45:00,6,AV. CNEL. ROCA Y COLECTORA AV. GRAL. PAZ,AVENIDA,8,-34.69843756,-58.47064556,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2017-0145,1,2017-11-26,2017,11,26,17:05:00,17,MAZA Y DON BOSCO,CALLE,5,-34.61223119,-58.41677733,MOTO-AUTO,MOTO,AUTO
2017-0147,1,2017-11-28,2017,11,28,11:15:00,11,AV. GRAL. PAZ Y AV. EVA PERON,AVENIDA,9,-34.67450313,-58.5025179,MOTO-AUTO,MOTO,AUTO
2017-0148,1,2017-11-29,2017,11,29,10:45:00,10,AV. SAN JUAN Y LA RIOJA,AVENIDA,3,-34.62438894,-58.40708125,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0149,1,2017-11-30,2017,11,30,12:20:00,12,AV. PASEO COLON Y MEXICO,AVENIDA,1,-34.61477051,-58.36947198,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0150,1,2017-12-04,2017,12,4,1:15:00,1,AV. RIVADAVIA Y MIRALLA,AVENIDA,9,-34.63934531,-58.51140889,PEATON-AUTO,PEATON,AUTO
2017-0151,1,2017-12-04,2017,12,4,2:15:00,2,VIEYTES Y LUJAN,CALLE,4,-34.65559133,-58.37460912,PEATON-PASAJEROS,PEATON,PASAJEROS
2017-0152,1,2017-12-06,2017,12,6,17:30:00,17,CACHI Y TRAFUL,CALLE,4,-34.65073916,-58.41146277,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
2017-0153,2,2017-12-11,2017,12,11,2:00:00,2,ROSARIO Y AV. LA PLATA,AVENIDA,6,-34.61829385,-58.42855267,MOTO-PASAJEROS,MOTO,PASAJEROS
