periodo,long,lat,denominacion_evento,fecha,horario,capacidad,disposicion_autorizante,predio,domicilio,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
201910,-58.469089,-34.697331,EVENTOS DEPORTIVOS EN AUTODROMO,2019-10-11 00:00:00,"de 19,30 a 04,30 hrs.",2000,DI-2019-62-GCABA-DGLYTAGC,Autódromo ,Avda. Coronel Roca 6902,"ROCA, CNEL. AV.",6902,Villa Riachuelo,Comuna 8,1439,C1439DWT
201910,-58.469089,-34.697331,EVENTOS DEPORTIVOS EN AUTODROMO,2019-10-18 00:00:00,"de 19,30 a 04,30 hrs.",2000,DI-2019-62-GCABA-DGLYTAGC,Autódromo ,Avda. Coronel Roca 6902,"ROCA, CNEL. AV.",6902,Villa Riachuelo,Comuna 8,1439,C1439DWT
201910,-58.469089,-34.697331,EVENTOS DEPORTIVOS EN AUTODROMO,2019-10-25 00:00:00,"de 19,30 a 04,30 hrs.",2000,DI-2019-62-GCABA-DGLYTAGC,Autódromo ,Avda. Coronel Roca 6902,"ROCA, CNEL. AV.",6902,Villa Riachuelo,Comuna 8,1439,C1439DWT
201910,-58.469089,-34.697331,EVENTOS DEPORTIVOS EN AUTODROMO,2019-10-13 00:00:00,"de 07,00 a 19,00 hrs.",1200,DI-2019-62-GCABA-DGLYTAGC,Autódromo ,Avda. Coronel Roca 6902,"ROCA, CNEL. AV.",6902,Villa Riachuelo,Comuna 8,1439,C1439DWT
201910,-58.469089,-34.697331,EVENTOS DEPORTIVOS EN AUTODROMO,2019-10-20 00:00:00,"de 07,00 a 19,00 hrs.",1200,DI-2019-62-GCABA-DGLYTAGC,Autódromo ,Avda. Coronel Roca 6902,"ROCA, CNEL. AV.",6902,Villa Riachuelo,Comuna 8,1439,C1439DWT
201910,-58.519508,-34.633653,IRON MAIDEN,2019-10-11 00:00:00,"de 16,00 a 01,00 hrs.",38590,DI-201966-GCABA-DGLYTAGC,Vélez,"Avda, Juan B Justo 9200","JUSTO, JUAN B. AV.",9200,Liniers,Comuna 9,1408,C1408AKU
201910,,,CIRCO DEL ANIMA,2019-10-03 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-04 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-05 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-06 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-10 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-11 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-12 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-13 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-17 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-18 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-19 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-20 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-24 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-25 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-26 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,,,CIRCO DEL ANIMA,2019-10-27 00:00:00,"de 17,00 a 23,15 hrs.",950,DI-2019-9047-GCABA-DGHP,Casino Flotante (Estacionamiento),Avda. E. Rawson de Dellepiane S/N ,,,,,,
201910,-58.448246,-34.590964,PAN PERCUSION CON SEÑAS,2019-10-10 00:00:00,"de 19,00 a 00,30 hrs.",2999,DI-2019-70-GCABA-DGLYTAGC,Complejo C Art Media,Avda. Corrientes 6271,CORRIENTES AV.,6271,Chacarita,Comuna 15,1427,C1427BPA
201910,-58.448246,-34.590964,PRESENTACION DOCUMENTAL FONDO,2019-10-16 00:00:00,"de 18,30 a 24,00 hrs.",999,DI-2019-70-GCABA-DGLYTAGC,Complejo C Art Media,Avda. Corrientes 6271,CORRIENTES AV.,6271,Chacarita,Comuna 15,1427,C1427BPA
201910,-58.448246,-34.590964,PAN PERCUSION CON SEÑAS,2019-10-17 00:00:00,"de 19,00 a 00,30 hrs.",2999,DI-2019-10159-GCABA-DGHP,Complejo C Art Media,Avda. Corrientes 6271,CORRIENTES AV.,6271,Chacarita,Comuna 15,1427,C1427BPA
201910,-58.448246,-34.590964,SABADO EN C,2019-10-19 00:00:00,"de 19,00 a 00,30 hrs.",2999,DI-2019-10290-GCABA-DGHP,Complejo C Art Media,Avda. Corrientes 6271,CORRIENTES AV.,6271,Chacarita,Comuna 15,1427,C1427BPA
201910,-58.361373,-34.619109,CHANDON WONDERLAND,2019-10-19 00:00:00,"de 23,00 a 05,00 hrs.",999,DI-2019-10288-GCABA-DGHP,Madero Harbour,Lola Mora 421,LOLA MORA,421,Puerto Madero,Comuna 1,1107,
201910,-58.448246,-34.590964,BUNKER FRENTE DE TODOS,2019-10-27 00:00:00,"de 12,00 a 05,00 hrs.",2999,DI-2019-10612-GCABA-DGHP,Complejo C Art Media,Avda. Corrientes 6271,CORRIENTES AV.,6271,Chacarita,Comuna 15,1427,C1427BPA
201910,-58.469089,-34.697331,EVENTOS DEPORTIVOS EN AUTODROMO,2019-10-26 00:00:00,"de 07,00 a 19,00 hrs.",2000,DI-2019-10617-DGHP,Autódromo ,Avda. Coronel Roca 6902,"ROCA, CNEL. AV.",6902,Villa Riachuelo,Comuna 8,1439,C1439DWT
201910,,,SUNRISE OPEN AIR,,,,,,,,,,,,
